index_code,date,open,close,low,high,volume,money,change
sh000112,2017-03-22,6654.060000,6617.150000,6548.000000,6670.000000,70345200.000000,1526260000.000000,-0.007395
sh000113,2017-03-22,2374.420000,2366.150000,2360.640000,2380.990000,268032700.000000,2011130000.000000,-0.008149
sh000132,2017-03-22,6344.700000,6379.960000,6334.650000,6388.880000,1052241400.000000,14366300000.000000,0.002130
sh000133,2017-03-22,6613.080000,6598.320000,6555.840000,6623.120000,1283104100.000000,20131650000.000000,-0.005581
sh000155,2017-03-22,2405.630000,2396.200000,2388.330000,2410.420000,5311801300.000000,54159960000.000000,-0.007760
sh000300,2017-03-22,3450.750000,3450.050000,3433.500000,3464.330000,10493589400.000000,123865640000.000000,-0.004702
sh000852,2017-03-22,8604.610000,8592.510000,8547.050000,8625.410000,9298485500.000000,130289390000.000000,-0.005447
sh000903,2017-03-22,3273.420000,3268.960000,3254.600000,3284.000000,5599848400.000000,61316020000.000000,-0.005576
sh000904,2017-03-22,4238.960000,4246.350000,4222.070000,4261.400000,4877419200.000000,62433920000.000000,-0.003216
sh000905,2017-03-22,6486.300000,6499.790000,6459.980000,6514.630000,7227336600.000000,88332150000.000000,-0.002480
sh000906,2017-03-22,3981.120000,3983.020000,3962.360000,3997.140000,17720926000.000000,212197790000.000000,-0.004038
sz399001,2017-03-22,10535.670000,10553.530000,10488.630000,10586.480000,18205890600.000000,301398430000.000000,-0.003126
sz399002,2017-03-22,12446.520000,12467.620000,12390.960000,12506.560000,7884947900.000000,115280390000.000000,-0.003126
sz399003,2017-03-22,6145.050000,6125.650000,6102.370000,6151.160000,8482200.000000,77450000.000000,-0.005045
sz399004,2017-03-22,4696.970000,4714.850000,4680.660000,4727.820000,2989075500.000000,46296440000.000000,-0.001652
sz399005,2017-03-22,6768.970000,6786.080000,6746.290000,6802.440000,1412838600.000000,25856790000.000000,-0.002169
sz399006,2017-03-22,1952.800000,1948.580000,1939.290000,1959.710000,3552334400.000000,88667840000.000000,-0.006364
sz399007,2017-03-22,4232.470000,4242.650000,4215.580000,4255.990000,5805536100.000000,84362260000.000000,-0.002438
sz399008,2017-03-22,1467.940000,1470.620000,1461.760000,1473.490000,3404221300.000000,55345520000.000000,-0.002543
sz399009,2017-03-22,4816.470000,4818.430000,4793.230000,4836.920000,2816460500.000000,38065820000.000000,-0.003559
sz399010,2017-03-22,8384.230000,8380.880000,8334.170000,8406.330000,6516452600.000000,94816130000.000000,-0.004548
sz399011,2017-03-22,5397.860000,5404.390000,5371.810000,5421.020000,12321988700.000000,179178390000.000000,-0.003336
sz399012,2017-03-22,3149.770000,3142.360000,3127.550000,3159.820000,2320716100.000000,45844500000.000000,-0.007031
sz399015,2017-03-22,2832.800000,2832.500000,2816.240000,2841.000000,4437040700.000000,63898000000.000000,-0.003907
sz399300,2017-03-22,3450.750000,3450.050000,3433.500000,3464.330000,10493589400.000000,123865640000.000000,-0.004702
sz399903,2017-03-22,3273.420000,3268.960000,3254.600000,3284.000000,5599848400.000000,61316020000.000000,-0.005576
sz399904,2017-03-22,4238.960000,4246.350000,4222.070000,4261.400000,4877419200.000000,62433920000.000000,-0.003216
sz399905,2017-03-22,6486.300000,6499.790000,6459.980000,6514.630000,7227336600.000000,88332150000.000000,-0.002480
